day,wallet,price
2023-2-27,30908.232494361106,0.4432
2023-2-28,33024.804823340935,0.47355
2023-3-1,31588.185713720362,0.45295
2023-3-2,32213.04528761358,0.46191
2023-3-3,30150.1718282652,0.43233
2023-3-4,30353.809100114333,0.43525
2023-3-5,29825.02204834891,0.43855
2023-3-6,29825.02204834891,0.42116
2023-3-7,29825.02204834891,0.42198
2023-3-8,29825.02204834891,0.38957
2023-3-9,29825.02204834891,0.3511
2023-3-10,29825.02204834891,0.32201
2023-3-11,29825.02204834891,0.33165
2023-3-12,29825.02204834891,0.31346
2023-3-13,29825.02204834891,0.37522
2023-3-14,29825.02204834891,0.39154
2023-3-15,29825.02204834891,0.46156
2023-3-16,26366.331451748305,0.40839
2023-3-17,27787.97894205781,0.43041
2023-3-18,29284.5179441184,0.45359
2023-3-19,27509.072622433057,0.42609
2023-3-20,25966.69485024895,0.4022
2023-3-21,25228.755212908458,0.39077
2023-3-22,25354.00481014735,0.39271
2023-3-23,25188.744661633536,0.379
2023-3-24,25188.744661633536,0.38295
2023-3-25,25188.744661633536,0.36868
2023-3-26,25188.744661633536,0.36872
2023-3-27,25188.744661633536,0.36662
2023-3-28,25188.744661633536,0.34046
2023-3-29,25188.744661633536,0.36072
2023-3-30,25188.744661633536,0.37589
2023-3-31,25188.744661633536,0.36364
2023-4-1,25188.744661633536,0.37027
2023-4-2,25188.744661633536,0.36109
2023-4-3,25188.744661633536,0.34357
2023-4-4,25188.744661633536,0.34755
2023-4-5,25188.744661633536,0.37168
2023-4-6,25188.744661633536,0.35778
2023-4-7,25188.744661633536,0.34895
2023-4-8,25188.744661633536,0.34354
2023-4-9,25188.744661633536,0.33856
2023-4-10,25188.744661633536,0.34274
2023-4-11,25188.744661633536,0.35733
2023-4-12,25188.744661633536,0.33448
2023-4-13,25188.744661633536,0.34239
2023-4-14,25188.744661633536,0.36556
2023-4-15,25188.744661633536,0.39494
2023-4-16,25626.911772145966,0.40216
2023-4-17,25494.36756962442,0.40008
2023-4-18,26909.02203884473,0.42228
2023-4-19,26709.56850331953,0.41915
2023-4-20,23534.87996023142,0.36933
2023-4-21,23299.741447104265,0.36564
2023-4-22,22766.308726917057,0.33392
2023-4-23,22766.308726917057,0.34139
2023-4-24,22766.308726917057,0.33734
2023-4-25,22766.308726917057,0.32486
2023-4-26,22766.308726917057,0.34189
2023-4-27,22766.308726917057,0.33925
2023-4-28,22766.308726917057,0.34505
2023-4-29,22766.308726917057,0.33768
2023-4-30,22766.308726917057,0.33296
2023-5-1,22766.308726917057,0.32241
2023-5-2,22766.308726917057,0.31791
2023-5-3,22766.308726917057,0.31214
2023-5-4,22766.308726917057,0.32238
2023-5-5,22766.308726917057,0.30794
2023-5-6,22766.308726917057,0.30205
2023-5-7,22766.308726917057,0.28867
2023-5-8,22766.308726917057,0.2719
2023-5-9,22766.308726917057,0.25543
2023-5-10,22766.308726917057,0.25967
2023-5-11,22766.308726917057,0.25176
2023-5-12,22766.308726917057,0.23452
2023-5-13,22766.308726917057,0.23965
2023-5-14,22766.308726917057,0.23726
2023-5-15,22766.308726917057,0.24369
2023-5-16,22766.308726917057,0.24242
2023-5-17,22766.308726917057,0.24939
2023-5-18,22766.308726917057,0.25498
2023-5-19,22766.308726917057,0.24521
2023-5-20,22766.308726917057,0.26111
2023-5-21,22766.308726917057,0.25471
2023-5-22,22766.308726917057,0.23617
2023-5-23,22766.308726917057,0.24703
2023-5-24,22766.308726917057,0.23471
2023-5-25,22766.308726917057,0.22681
